endereco_tse,cep,Logradouro,Tipo Logradouro,id_bairro
"RUA ANGELO ZEN, 53 - FORUM ELEITORAL",83005620,RUA ANGELO ZEN,RUA,60
"RUA PADRE FRANCISCO CAMARGO, 759 - FORUM ELEITORAL",83414010,RUA PADRE FRANCISCO CAMARGO,RUA,69
"RUA 2850, N. 470, ED. SAN SALVATORE",88330363,RUA 2850,RUA,83
"RUA DOS FLAMBOYANTS, 220-N",78450000,RUA DOS FLAMBOYANTS,RUA,95
"RUA OURUPU, 145 - FORUM ELEITORAL",87240000,RUA OURUPU,RUA,68
PRAÇA BATISTA ACIOLY 40,57955000,PRAÇA BATISTA ACIOLY 40,PRAÇA,53
"RODOVIA ENGENHEIRO JOAQUIM GONÇALVES, 502",57200000,RODOVIA ENGENHEIRO JOAQUIM GONÇALVES,RODOVIA,62
"RUA DR. PEDRO PAULINO DA COSTA, 527A",37968000,RUA DR. PEDRO PAULINO DA COSTA,RUA,38
"PRAÇA DA MAÇONARIA, S/N",18040295,PRAÇA DA MAÇONARIA,PRAÇA,14
"RUA DO ANDRADE, 286",35930196,RUA DO ANDRADE,RUA,15
"RUA BUENOS AIRES, 919 - SALA 102 (PRÉDIO DO FORUM)",98900000,RUA BUENOS AIRES,RUA,99
"RUA PROFESSORA ADELINA PROCOPIAK, 268 - FÓRUM ELEITORAL",87600000,RUA PROFESSORA ADELINA PROCOPIAK,RUA,15
"RUA MONTES CLAROS, 268",39600000,RUA MONTES CLAROS,RUA,5
"RUA FRANCISCO DE PAULA, 94",69520000,RUA FRANCISCO DE PAULA,RUA,40
"RUA 15 DE NOVEMBRO, 86",65878000,RUA 15 DE NOVEMBRO,RUA,68
"RUA NOSSA SENHORA DA PENHA QD.01 LT.01/09, FÓRUM",72960000,RUA NOSSA SENHORA DA PENHA QD.01 LT.01/09,RUA,29
"RUA LUIZ FACCINI, 344, SEGUNDO ANDAR",7110000,RUA LUIZ FACCINI,RUA,19
"RUA RIO GRANDE DO SUL, 2664",76974000,RUA RIO GRANDE DO SUL,RUA,4
"RUA SILVA JARDIM, 2-17",17060240,RUA SILVA JARDIM,RUA,60
"RUA JOAO PAROLIN, 55",80220902,RUA JOAO PAROLIN,RUA,77
"RUA BARÃO DE GRAJAÚ, SN",65945000,RUA BARÃO DE GRAJAÚ,RUA,51
"RUA SANTA CATARINA, 781",18700005,RUA SANTA CATARINA,RUA,52
RUA MIGUEL LEMOS 97 -  TERREO,22071000,RUA MIGUEL LEMOS 97 -  TERREO,RUA,36
"RUA DOM PEDRO II, 195",12282370,RUA DOM PEDRO II,RUA,69
"RUA JOSÉ ROCHA, N. 483",61600070,RUA JOSÉ ROCHA,RUA,87
"RUA D. PEDRO I, 2349",76950000,RUA D. PEDRO I,RUA,10
"RUA EVENCIA BRITO, S/N",48400000,RUA EVENCIA BRITO,RUA,71
"TV ASSIS DE VASCONCELOS, N 1838, 8H AS 13 H",68730000,TV ASSIS DE VASCONCELOS,TRAVESSA,4
"RUA BENJAMIN CONSTANT, 179",13720000,RUA BENJAMIN CONSTANT,RUA,55
"RUA JOÃO PESSOA, 58",7500000,RUA JOÃO PESSOA,RUA,33
"RUA BARÃO DE NAZARE, S/N",55294580,RUA BARÃO DE NAZARE,RUA,85
